annotation_id,pair_id,source,dataset_name,speaker_a,turn_a,speaker_b,turn_b,resonance_present,label_reproduction,label_parallelism,label_selective_reuse,label_repair,label_contrast,label_analogy_candidate,evidence_span_a,evidence_span_b,annotator_note,uncertainty_reason,gold_candidate_status,top30_review_applied,reviewer_confidence,final_decision_note,previous_resonance_present,previous_label_reproduction,previous_label_parallelism,previous_label_selective_reuse,previous_label_repair,previous_label_contrast,previous_label_analogy_candidate,previous_evidence_span_a,previous_evidence_span_b,gold_candidate_v2_status,round2_review_applied,round2_reviewer_confidence,round2_final_decision_note,round2_previous_resonance_present,round2_previous_label_reproduction,round2_previous_label_parallelism,round2_previous_label_selective_reuse,round2_previous_label_repair,round2_previous_label_contrast,round2_previous_label_analogy_candidate,round2_previous_evidence_span_a,round2_previous_evidence_span_b,gold_candidate_v3_status,final_sanity_review_applied,final_sanity_reviewer_confidence,final_sanity_final_decision_note,final_sanity_previous_resonance_present,final_sanity_previous_label_reproduction,final_sanity_previous_label_parallelism,final_sanity_previous_label_selective_reuse,final_sanity_previous_label_repair,final_sanity_previous_label_contrast,final_sanity_previous_label_analogy_candidate,final_sanity_previous_evidence_span_a,final_sanity_previous_evidence_span_b,final_sanity_inferred_from_user_message,final_sanity_changed_fields,gold_v1_status,gold_v1_freeze_source,gold_v1_frozen_at
F300V1-0001,2735988,文本对话,世说新语,王子敬,嘉宾何如道季？,谢公,道季诚复钞撮清悟，嘉宾故自上。,yes,1,1,1,0,1,0,嘉宾 ||| 道季,道季 ||| 嘉宾,B复现A中的两个人物名，并对二者高下作出比较性回答，形成问答填槽、结构对齐和对比评价。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0002,2734081,文本对话,论语,或人,子奚不为政？,孔子,书云：孝乎！惟孝友于兄弟，施于有政。是亦为政。奚其为为政！,yes,1,1,1,1,1,0,子奚不为政 ||| 为政,是亦为政 ||| 奚其为为政,B复现“为政”并纠正A中“子不为政”的预设，形成修正性回应和对比。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0003,2720679,文本对话,平凡的世界,金波,人家不爱你，又有什么办法！,向前,她不爱我，我也要爱她！,yes,1,1,1,0,1,0,不爱你 ||| 爱,她不爱我 ||| 我也要爱她,B密集复现“爱/不爱”框架，将A的否定判断转化为自己的坚持，形成强复现、平行和对比。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0004,2691301,文本对话,红楼梦,凤姐儿,怕什么，你们只管说罢，重名重姓的多呢。,贾母,怪道叫作《凤求鸾》。不用说，我猜着了，自然是这王熙凤要求这雏鸾小姐为妻。,no,0,0,0,0,0,0,,,B虽承接前文猜谜情境，但没有稳定复现或改造A中的具体句法资源，暂不标为共鸣。,,top30_reviewed,1,high,B虽承接猜谜情境，但没有稳定复现或改造A中“重名重姓”等具体表达资源，保持no。,no,0,0,0,0,0,0,,,top30_reviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0005,2683088,日常对话,青云语料,问,"在上一条我回复你,你怎么不回复我",答,我也要思考啊，不能随便回你话吧，那会让你觉得菲菲好笨的,yes,1,0,1,0,0,0,回复你 ||| 你怎么不回复我,回你话,B复现“回复/回你话”这一核心行为，并对A的追问作解释性回应。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0006,2740972,影视对白,subtitle-useless,,感觉不错,,感觉还好吗?,yes,1,0,1,0,0,0,感觉不错,感觉还好吗,B复现“感觉”并围绕同一评价状态继续追问，属于较弱的词汇复现和选择性承接。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0007,2724086,文本对话,唐传奇,先生,不害狼乎？,丈人,禽兽负恩如是，而犹不忍杀。子固仁者，然愚亦甚矣。从井以救人，解衣以活友，于彼计则得，其如就死地何！先生其此类乎？仁陷于愚，固君子之所不与也。,yes,0,0,1,0,1,0,不害狼乎,不忍杀,B承接A关于是否伤害狼的质问，以“不忍杀”解释并反向评价该行为，属于语义选择性承接和对比。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0008,2723050,文本对话,骆驼祥子,祥子,两辆车一天进上三毛钱，不够吃的！赁出一辆，我自己拉一辆，凑合了！,虎妞,那还不是一样？你还是不着家儿！,yes,0,0,1,0,1,0,赁出一辆，我自己拉一辆,那还不是一样,B直接评价A提出的处理方案，指出结果“还是一样”，形成对方案的选择性承接和反驳。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0009,2693793,访谈语料,china_interview,中国网,中华人民共和国《中医药法》于7月1日刚刚实施，中医药法的实施对于中医药走出去和国际合作将产生怎样的影响？,王笑频,影响是具有历史性的，意义是非常重大的。因为《中医药法》是我们的根本大法，它明确了国家发展事业根本的取向、原则以及重点的发展领域，法理对走向国际，对于中医药的国际标准化都有明确的内容。所以我们下一步按照这个法来全面推动，不断的把顶层设计完善起来，要把具体的项目落到实处，而且还要秉承丝绸之路精神，共商、共享、共建，和全世界有志于发展的国家联合起来，共同让传统医学造福人类健康。,yes,1,0,1,0,0,0,中医药法 ||| 影响,影响 ||| 中医药法,B复现A中的“中医药法/影响”焦点，并围绕其国际影响展开回答。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0010,2773838,日常对话,douban-multiturn-100w,甲,决心加入msf的进,乙,不是学医的可以申请msf吗有什么要求新人求指点,yes,1,0,1,0,0,0,msf,msf,B复现“msf”，并围绕A提出的加入主题继续追问申请条件。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0011,2734742,文本对话,老乞大,甲,委实没许多好银子，敢则到的九十两，那零的二十八两，与你青丝如何？,乙,客人看，这偌多交易，要甚麽争竞？,no,0,0,0,0,0,0,,,B只是对交易争竞作回应，缺少可稳定定位的词汇复现、结构平行或槽位映射。,,top30_reviewed,1,high,B只是对交易争竞作回应，缺少可定位的词汇复现、结构平行或槽位映射，保持no。,no,0,0,0,0,0,0,,,top30_reviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0012,2651858,日常对话,qingyun-11w,问,为什么这么聪明,答,哪里哪里，菲菲的聪明与进步全得益于跟你们猥琐的聊天对话...,yes,1,0,1,0,1,0,聪明,哪里哪里 ||| 聪明,B复现“聪明”，同时用“哪里哪里”对A的夸赞作谦逊式回应，形成弱对比。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
