annotation_id,pair_id,normalized_pair_hash,conversation_group_key,source,category,dataset_name,speaker_a,turn_a,speaker_b,turn_b,stress_profile,resonance_present,label_reproduction,label_parallelism,label_selective_reuse,label_repair,label_contrast,label_analogy_candidate,evidence_span_a,evidence_span_b,annotator_note,uncertainty_reason,ai_model,ai_prompt_version,ai_run_id,ai_confidence,ai_review_status
NAS1-0001,2696280,6cb84f7d6f870bc6b5c93c1b8e059b3a6c829ec9a1bbec692cd288261ef03083,tieba-305w::entry:11917,网络回帖,贴吧回帖,tieba-305w,上帖,汉朝打下了朝鲜汉四郡，灭亡了南越国，东越国等等只是现在有了整容技术极端化了罢了,回帖,富态也不一定就是胖脸，就是脸蛋圆润起码能看见肉的那种，能有酒窝最好， 但是那种特瘦还拿化妆品找补的特白的那种我是欣赏不来， 当然了每个人的审美可能不一样。,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0002,2697386,b63994c88814eadcc27af22e27b80d06540841ca6766afbc66911bf38115b19b,tieba-305w::entry:12007,网络回帖,贴吧回帖,tieba-305w,上帖,日你嘴,回帖,尼玛细长哥这就是你的长篇大论？？？？,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0003,2702492,43169c7cc2e426f8b208be5c3b21f87031c5c5185c1538f313effb105287675a,tieba-305w::entry:12338,网络回帖,贴吧回帖,tieba-305w,上帖,只能混个助攻勉强维持生活这样子,回帖,一脚完成两件事，有木有,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0004,2705647,e2d6e7c893dafb389dfe50d43df0eea4087df135fd76fa492b6421bb29d11f95,tieba-305w::entry:12543,网络回帖,贴吧回帖,tieba-305w,上帖,早上醒了睡不着，一上贴吧，就看到好几篇说要崩盘的，所以就特地发一贴,回帖,不是今早是最近持续一个多星期了。。天天有这种贴,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0005,2705928,931916c01938621408497eb42ead365165f6dbef71dfaaccccd2aae69d81955e,tieba-305w::entry:12562,网络回帖,贴吧回帖,tieba-305w,上帖,媒体本来就天生自带唯恐天下不乱的属性，英媒更甚，老斯作为一个名宿，在发表一些评论前也应该想到这一点。他提的大部分意见还是比较中肯的，但我觉得还是得注意场合与时机，以免被媒体利用。,回帖,将军球迷好多都转魔迷了，后面那两种加上范厨子人迷也是没谁,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0006,2708246,2d10119174ebe1ffc9d9bacc96287aaf90206572741323478747aa250ebbed84,tieba-305w::entry:12714,网络回帖,贴吧回帖,tieba-305w,上帖,为什么说的有道理的反对意见你一条也不回呢，比如楼上,回帖,真的是一场论太多了。,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0007,2714355,e56110efeb4deb95ab2d9b72da0fa684809ab26de28863f854f1d568b40ad3ec,tieba-305w::entry:13106,网络回帖,贴吧回帖,tieba-305w,上帖,放炮,回帖,骑兵连，冲！！！！！！！！！,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0008,2716018,966a6025058251e55ec6a994fe183fadbe79e09a8dc3758501be5c5a9de338f6,tieba-305w::entry:13215,网络回帖,贴吧回帖,tieba-305w,上帖,前排溜人@许贤DT,回帖,层猪撒比 -- 娜家楼猪哲么克乃啊？有没有银咬啊？没引药可掐撕了啊！,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0009,2716511,90f03f559f14cb1ff4d3c0ae8a42c86f2fc652c803ab8e273f6e59c9b37969ad,tieba-305w::entry:13248,网络回帖,贴吧回帖,tieba-305w,上帖,百分之三十是美国佬的统计，抗日战争成建制打光的事，一大堆,回帖,呵呵，问一下，更正？你认为你有这个资格？,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0010,2718792,08aa056761933fe4fb14d08ce3e24d8fd988e9935c340c66752115d399d11269,tieba-305w::entry:13399,网络回帖,贴吧回帖,tieba-305w,上帖,文征明嘛？,,回复 蟑螂肉包 ：,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0011,2719011,1bcfb08ed632ff2bd7fe82c0ae01fc9f37556f5f054d91add829db9025d087cf,tieba-305w::entry:13413,网络回帖,贴吧回帖,tieba-305w,上帖,雪豹里面有他吧,回帖,还有一部解放战争东北战场的演了一个解放兵，算重要配角,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0012,2721023,c2125bb5721a16c3e1cef7217b1edc34983f5a41771b1a9ecfd06169d14fbf25,tieba-305w::entry:13545,网络回帖,贴吧回帖,tieba-305w,上帖,如果觉得吃亏了，不合理。大可以作废，协定明文规定只需要提前一年通知即可。而生效至今都十几年了吧。要不你代表中国人民去废除？,回帖,国家不出头糯康怎么死的？当初抗美援朝的一大主因就是炸死我丹东边民。,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0013,2722706,b6052c2b2b4574966e24b683a8789f105701efd35d77120a12789476d20bf478,tieba-305w::entry:13654,网络回帖,贴吧回帖,tieba-305w,上帖,那他桶岂不是袁绍了？,回帖,是从组长到乡长的故事,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0014,2722827,600a20a1f926c74573ae39b86550e5102395de536b9b4d540e74868566460cfb,tieba-305w::entry:13662,网络回帖,贴吧回帖,tieba-305w,上帖,你咋不说八国联军那，有多少人,回帖,日本战国时候全国有1400万人口，中国王朝末年的人口，比如汉末和明末，人口甚至还没这个多，日本战国的军队怎么也不会比中国内战的军队少,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0015,2733393,89306f7f04f6d0b4141431b2d0012419a9637221683fb2b170bb7bbd59d820e9,tieba-305w::entry:14597,网络回帖,贴吧回帖,tieba-305w,上帖,没有吴宗宪就没有周杰伦。,回帖,宪哥在内地名气是大不如前了，但在台湾都有宪神的称号了，也不算下坡吧，毕竟两个收视第一节目每年主持人收入榜前三,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0016,2751799,62270a3159a2db2f5c666801d10444eb041e8b63db5ddcaaa48d4f9d5505b6ee,tieba-305w::entry:20570,网络回帖,贴吧回帖,tieba-305w,上帖,鼠目寸光，懒得再理你。,回帖,规矩就是被你这种人破坏的,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0017,2752164,e482a906d03924502e21da0506ae6d95a9b7955e18cf5eba35e2d0a83a6980aa,贴吧回帖::entry:209,网络回帖,贴吧回帖,贴吧回帖,上文,微直播 有也免费高清的额···,回帖,不错啊，直播挺全的！,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0018,2752513,af3042211f69b177816a1c0ec1f88cf5a6a97090dc2839661781216620fa1a69,tieba-305w::entry:21212,网络回帖,贴吧回帖,tieba-305w,上帖,"Pritam singh (Elizabeth, New Jersey) replies to Manu Mohan 8 hrs ago China is backward and poor and most Chinese are leaving the mainland many work as whores in North America. 中国是贫穷落后的国家，许多中国人离开中国大陆在北美当娼妓。",回帖,看起来他很羡慕的样子,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0019,2752518,a3b8cabe337236c3c990a3bd2ade77f49b7733a6c3c27dc7a78bd295eb97b125,tieba-305w::entry:21217,网络回帖,贴吧回帖,tieba-305w,上帖,我特么真想感受一下营养不良是什么样的 马上200斤了,回帖,走错路了吧,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0020,2752658,8921f680e51eef4a7644af8aae94774f42056eb6460bf8e403c515bc963b3902,tieba-305w::entry:21343,网络回帖,贴吧回帖,tieba-305w,上帖,所以老子特别讨厌国家队比赛,回帖,中间靠右,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0021,2752831,e607598616ea0c88cd66ac372902ec1b9532a2ac8489aefd956e2feb0e48dde4,贴吧回帖::entry:215,网络回帖,贴吧回帖,贴吧回帖,上文,24直播网有免费高清的,回帖,有的,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0022,2752961,bf500803361a333d26627d004e7faa0dfc0a023d2ab6e89363075053a324db52,tieba-305w::entry:21616,网络回帖,贴吧回帖,tieba-305w,上帖,去投的都投给曼城啊，这奖有毒,回帖,这讲道理是费兰才对,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0023,2753166,75f1e0a1b1567e8383cc813be281062f35f5e983df2264eab124cd49086a51e0,tieba-305w::entry:21800,网络回帖,贴吧回帖,tieba-305w,上帖,加油！,回帖,明年马竞有转会禁令，卖了格列兹曼还怎么玩？就算他自己想走都很难，也得熬到禁令结束。我觉得要想得到他只有砸违约金。,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0024,2753258,7ec27fafee49c797e197f90721e5d01484315689a26f7afbb67d5b51b427cfdd,tieba-305w::entry:21884,网络回帖,贴吧回帖,tieba-305w,上帖,毕竟是个前锋的视角,回帖,哈哈，这赛季进球减半。。。,async_network_reply,,,,,,,,,,,,,,,,
