candidate_id,annotation_id,pair_id,pred_column_id,pred_span_a,pred_span_b,pred_relation_type,pred_relation_strength,pred_alignment_direction,pred_is_core_column,pred_supports_resonance,pred_confidence,generator_name,generator_version,notes,from_rule_v1,from_rule_v1_1,source_count,candidate_tier,candidate_pool_note,needs_bert_score,suggested_bert_task
BCPV0-0001,F300V1-0002,2734081,CP01,为政,为政,lexical_reproduction,medium,mutual,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=lexical_reproduction; exact common substring | rule_v1.1:rule=lexical_reproduction; pruned exact common substring,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P02|rule_v1.1:P01; core_policy=source_or; risk_flags=none,1,rerank_or_keep
BCPV0-0002,F300V1-0002,2734081,CP02,子奚不为政？,书云,short_answer,medium,A_to_B,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=short_answer; explicit question with short B-side answer,1,0,1,recall_rule_only,merged_from=rule_v1; source_pred_ids=rule_v1:P01; core_policy=source_or; risk_flags=high_risk_relation=short_answer,1,false_positive_filter
BCPV0-0003,F300V1-0008,2723050,CP01,凑合了,那还不是一样,contrast,medium,A_to_B,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=contrast; explicit contrast/evaluation marker in B,1,0,1,recall_rule_only,merged_from=rule_v1; source_pred_ids=rule_v1:P01; core_policy=source_or; risk_flags=high_risk_relation=contrast,1,false_positive_filter;relation_type_check
BCPV0-0004,F300V1-0008,2723050,CP02,凑合了,那,coreference_or_demonstrative,medium,A_to_B,0,1,low,bert_candidate_pool,v0,rule_v1:rule=demonstrative; proposition recall via 那,1,0,1,recall_rule_only,merged_from=rule_v1; source_pred_ids=rule_v1:P03; core_policy=source_or; risk_flags=low_source_confidence|high_risk_relation=coreference_or_demonstrative,1,false_positive_filter;relation_type_check
BCPV0-0005,F300V1-0008,2723050,CP03,我,你,coreference_or_demonstrative,strong,A_to_B,0,1,medium,bert_candidate_pool,v0,rule_v1:rule=coreference; speaker-role / deictic shift,1,0,1,recall_rule_only,merged_from=rule_v1; source_pred_ids=rule_v1:P02; core_policy=source_or; risk_flags=high_risk_relation=coreference_or_demonstrative,1,false_positive_filter;relation_type_check
BCPV0-0006,F300V1-0010,2773838,CP01,msf,msf,lexical_reproduction,medium,mutual,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=lexical_reproduction; exact common substring | rule_v1.1:rule=lexical_reproduction; pruned exact common substring,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P02|rule_v1.1:P02; core_policy=source_or; risk_flags=none,1,rerank_or_keep
BCPV0-0007,F300V1-0010,2773838,CP02,决心加入msf的进,不是学医的可以申请msf吗有什么要求新人求指点,repair,medium,A_to_B,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=repair; B-side negation / correction opener | rule_v1.1:rule=repair; B-side negation / correction opener,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P01|rule_v1.1:P01; core_policy=source_or; risk_flags=high_risk_relation=repair,1,rerank_or_keep;relation_type_check
BCPV0-0008,F300V1-0013,2998903,CP01,胜于,胜于,lexical_reproduction,medium,mutual,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=lexical_reproduction; exact common substring | rule_v1.1:rule=lexical_reproduction; pruned exact common substring,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P01|rule_v1.1:P01; core_policy=source_or; risk_flags=none,1,rerank_or_keep
BCPV0-0009,F300V1-0020,2751447,CP01,化学,化学,lexical_reproduction,medium,mutual,0,1,medium,bert_candidate_pool,v0,rule_v1:rule=lexical_reproduction; exact common substring | rule_v1.1:rule=lexical_reproduction; pruned exact common substring,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P02|rule_v1.1:P02; core_policy=source_or; risk_flags=none,1,rerank_or_keep
BCPV0-0010,F300V1-0020,2751447,CP02,什么是化学,混合化学品的科学,slot_filling,strong,A_to_B,1,1,high,bert_candidate_pool,v0,rule_v1:rule=slot_filling; definition-style question answering | rule_v1.1:rule=slot_filling; definition-style question answering,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P01|rule_v1.1:P01; core_policy=source_or; risk_flags=high_risk_relation=slot_filling,1,rerank_or_keep;relation_type_check
