annotation_id,pair_id,turn_a,turn_b,resonance_present,binary_label,label_reproduction,label_parallelism,label_selective_reuse,label_repair,label_contrast,label_analogy_candidate,evidence_span_a,evidence_span_b,source,dataset_name,sample_stratum,conversation_group_key,normalized_pair_hash
F300V1-0053,2735845,刘东曹何以不下意？,会不能用。,yes,1,0,0,1,0,0,0,何以不下意,会不能用,文本对话,世说新语,rule_positive,世说新语::entry:147216,90838bc065671b98a73ae9a1585315b38572b57c476b8e640c14ac2b456d68ce
F300V1-0273,2903239,客人也会教真是有耐心的客人啊调酒有配方或者比例吧怎么掌握量,当然有方子和比例了量是用量酒器控制的不难掌握,yes,1,1,0,1,0,0,0,配方或者比例 ||| 掌握量,方子和比例 ||| 量酒器,日常对话,douban-multiturn-100w,analogy_or_parallel_candidate,douban-multiturn-100w::entry:58166,b24382c2511c869d21b12af57ba56b13f443fa41a9d5f88b31c9cd01e703c8f2
F300V1-0284,2683146,真好!但是没人理,没人理就自己玩嘛,yes,1,1,0,1,0,0,0,没人理,没人理就自己玩嘛,日常对话,qingyun-11w,analogy_or_parallel_candidate,qingyun-11w::entry:10904,414cf8afbc799a50f668caba5e83aa159e4d560e15cb15694ebc85e8d40960ca
F300V1-0230,2722009,三千。,还得另转借一千块……,yes,1,0,0,1,0,0,0,三千,一千块,文本对话,平凡的世界,potential_false_negative,平凡的世界::entry:136089,a12a8c4a5053ab836d764447ab7e490f3e08f4eddd2ab0c81b8c55760d793d72
F300V1-0109,2724626,【劭】：巨卿信土也，必然今日至矣。安肯误鸡黍之约！入门便见所许之物，足见我之持久。如候巨卿来而后宰之，不见我惓惓之意。,【母】：吾儿之友，必是端士。,yes,1,0,0,1,0,0,0,巨卿,吾儿之友,文本对话,清平山堂话本,rule_negative_random,清平山堂话本::entry:137833,a299d54775f992ec5821449cd75526f6887b35a83e300c828e2516984c959da3
F300V1-0118,2748488,你长的喔是大饼脸,菲菲是长在虚拟世界里的，你不可能知道我长啥样,yes,1,0,0,1,1,1,0,大饼脸,你不可能知道我长啥样,日常对话,青云语料,rule_negative_random,青云语料::entry:176,082f893da73351ae23fa9428e3d8f298b0dfb399472e28315714ab83f2ab8339
F300V1-0226,2703501,这个乞丐道人却鸟躲在那里！我若见时，脑揪将去见哥哥！,你又来了！若不听我的言语，我又教你吃苦！,yes,1,0,0,1,1,1,0,脑揪将去见哥哥,你又来了 ||| 若不听我的言语,文本对话,水浒传,potential_false_negative,水浒传::entry:124025,7b45be7bdb22cbbfe2d03b403776008027dd234726d0d26a495242ee967a5966
F300V1-0286,2731631,中正即礼智，何以不直言『礼智』，而曰『中正』？,『礼智』字不似『中正』字，却实。且中者，礼之极；正者，智之体，正是智亲切处。伊川解『贞』字，谓『正而固』也。一『正』字未尽，必兼『固』字。所谓『智之实，知斯二者弗去是也』。智是端的真知，恁地便是正。弗去，便是固。所以『正』字较亲切,yes,1,1,0,1,1,1,0,礼智 ||| 中正,礼智 ||| 中正,文本对话,朱子语类,analogy_or_parallel_candidate,朱子语类::entry:144339,26f553a0d559c42093c7b1ce73f2e9e5428566639cafeb9794afce2725bcf82d
F300V1-0291,2699988,你们却如何在这日头里做工？,我们拨在这里做生活时，便是人间天上了，如何敢指望嫌热坐地！还别有那没人情的，将去锁在大牢里，求生不得生，求死不得死，大铁链锁着，也要过哩！,yes,1,1,0,1,0,0,0,做工,做生活 ||| 嫌热,文本对话,水浒传,analogy_or_parallel_candidate,水浒传::entry:121758,9bfbcb5b49a2bd0eb692e3e7419bb46c9943bbdd4e2fdbb61112b6a47c4819c9
F300V1-0228,2723437,是西汉鄱县王吴芮。今刺史宅，是芮昔时所居。至今犹恃雄豪，侵占土地，往往肆其暴虐，人无奈何。,即追来！,yes,1,0,0,1,0,0,0,吴芮 ||| 肆其暴虐,即追来,文本对话,唐传奇,potential_false_negative,唐传奇::entry:137028,f9b719b747006a3040fbfbee0a2a7a5156f6f1b1be7e406e153d96eec9a9587b
