annotation_id,pair_id,column_id,span_a,span_b,relation_type,relation_strength,alignment_direction,is_core_column,supports_resonance,notes,draft_confidence,needs_human_review,review_reason,reviewer_decision,reviewer_note,reviewed_relation_type,reviewed_relation_strength,reviewed_is_core_column,reviewed_supports_resonance,reviewed_status,batch,spot_review_decision,spot_review_note,spot_review_applied
F300V1-0020,2751447,C01,化学,化学,lexical_reproduction,strong,mutual,1,1,B复现A中被定义对象“化学”。,,,,keep,,lexical_reproduction,strong,1,1,kept_in_gold_candidate,pilot10,,,0
F300V1-0020,2751447,C02,什么是化学,混合化学品的科学。,slot_filling,strong,A_to_B,1,1,B以定义形式回答A的“什么是X”问题。,,,,keep,,slot_filling,strong,1,1,kept_in_gold_candidate,pilot10,,,0
F300V1-0020,2751447,C03,什么,科学,semantic_substitution,medium,A_to_B,1,1,B用“科学”填入A中“什么”打开的类别槽位。,,,,revise,“什么→科学”更像定义问答中的类别填槽，不宜标为 semantic_substitution；该栏辅助说明类别槽位，主链由 C01/C02 支撑。,slot_filling,medium,0,1,revised_in_gold_candidate,pilot10,,,0
F300V1-0023,2678369,C01,你,我,coreference_or_demonstrative,strong,A_to_B,1,1,A中的“你”指向B，说话权转换后在B中成为“我”。,,,,keep,,coreference_or_demonstrative,strong,1,1,kept_in_gold_candidate,pilot10,,,0
F300V1-0023,2678369,C02,做什么,到书房,slot_filling,medium,A_to_B,1,1,B用“到书房”填入A询问的行动/去向槽位。,,,,keep,,slot_filling,medium,1,1,kept_in_gold_candidate,pilot10,,,0
F300V1-0023,2678369,C03,做什么,看看,slot_filling,strong,A_to_B,1,1,B用“看看”回答A询问的具体行为。,,,,keep,,slot_filling,strong,1,1,kept_in_gold_candidate,pilot10,,,0
F300V1-0023,2678369,C04,做什么,看看爸写的介绍信在那儿没有,slot_filling,strong,A_to_B,1,1,B给出完整行动内容，补足A的问题槽位。,,,,revise,C04 是对 C02/C03 的整句扩展，适合作为辅助栏；核心行动槽位已由“到书房”“看看”承担。,slot_filling,medium,0,1,revised_in_gold_candidate,pilot10,,,0
F300V1-0050,2708953,C01,那差来的,他,coreference_or_demonstrative,medium,A_to_B,1,1,,,,,keep,,coreference_or_demonstrative,medium,1,1,kept_in_gold_candidate,pilot10,,,0
F300V1-0050,2708953,C02,叫做,叫做,lexical_reproduction,strong,mutual,1,1,,,,,keep,,lexical_reproduction,strong,1,1,kept_in_gold_candidate,pilot10,,,0
F300V1-0050,2708953,C03,甚么名字,巴山虎,slot_filling,strong,A_to_B,1,1,,,,,keep,,slot_filling,strong,1,1,kept_in_gold_candidate,pilot10,,,0
