title,content,source,year,category,dataset_name,source_url,crawl_source,crawl_date,license_note
2024年10月10日外交部发言人毛宁主持例行记者会 片段 1,"总台央视记者：日前，美国常务副国务卿坎贝尔在线上参加卡内基国际和平基金会研讨会时称，中国认为美国正在衰落，日益显露出“是时候展现自己实力、让美国退出全球舞台”的愿望。过去美国和其他国家在全球建立“操作系统”，中国曾是最大受益者，但中国现在却想改变这个“操作系统”的核心。美中关系在许多方面已进入“以竞争为主导”的新阶段。中方对此有何评论？
毛宁：美方官员有关言论充斥冷战零和思维和美式霸权主义，显然是在炮制又一针对中国的虚假叙事，目的是渲染“中国威胁”、鼓噪大国竞争，实质是为遏制打压中国找借口。 中国的发展目标就是让14亿多中国人民过上美好的生活，我们无意同谁一争高低，无意取代谁、挑战谁。中方乐见美国发展进步，美方有关人士一再炒作“中国认为美国正在衰落”，恐怕更多是不自信的表现。中国不赌美国输，美国也不要赌中国输，中国人民必然实现民族伟大复兴。 我们不了解美方官员所谓由美国和其他国家在全球建立的“操作系统”究竟指什么。中方认为，世界只有一个体系，就是以联合国为核心的国际体系；只有一个秩序，就是以国际法为基础的国际秩序；只有一套规则，就是以联合国宪章宗旨和原则为基础的国际关系基本准则。中国坚持走和平发展道路，致力于维护以联合国为核心的国际体系和国际关系基本准则。反倒是美国，沉迷于冷战旧梦，执着于单极霸权，对国际规则合则用、不合则弃，搞“小圈子”、阵营对抗，是国际秩序的最大乱源。 我们始终认为，大国竞争不符合时代潮流，更解决不了美国自身的问题和世界面临的挑战。中美关系中存在一些竞争因素，但不能以竞争定义、让竞争主导整个中美关系。中方不回避竞争，也不惧怕竞争，但竞争应该是良性、健康的，而非零和博弈、赢者通吃，更不是无底线打压对方、恶意对抗。 奉劝美方不要挖空心思炮制新名词渲染所谓“中国威胁”，错误的叙事再怎么包装也欺骗不了世人。美方应该树立客观正确的对华认知，回归理性务实的对华政策，切实将拜登总统的承诺落到实处，同中方相互尊重、和平共处、合作共赢，推动两国关系稳定、健康、可持续发展。",访谈语料,2024,外交部记者会,mfa_press,https://www.mfa.gov.cn/fyrbt_673021/jzhsl_673025/202412/t20241217_11495379.shtml,外交部例行记者会实录,2026-04-29,公开网页文字片段，仅用于语料检索展示；上线展示短片段，并提供原文链接，版权归原网站及相关权利人所有。
2024年10月10日外交部发言人毛宁主持例行记者会 片段 2,"法新社记者：台湾地区领导人赖清德今天发表演讲，强调“台湾主权不容侵犯或吞并”，中方对此有何评论？
毛宁：赖清德的讲话蓄意割裂两岸历史联结，重弹“互不隶属”“坚持主权”等论调，变换花样贩卖“台独”谬论，再次暴露其冥顽不化的“台独”立场，暴露其为谋取政治私利不惜推高台海紧张局势的险恶用心。 世界上只有一个中国，台湾是中国领土不可分割的一部分，中华人民共和国政府是代表全中国的唯一合法政府。无论赖清德当局说什么、做什么，都改变不了两岸同属一个中国的客观事实，更阻挡不了中国必然统一、也终将统一的历史大势。谋“独”挑衅是死路一条。 一个中国原则是国际关系基本准则和国际社会普遍共识。台湾从来就不是一个国家，也绝不可能成为一个国家，根本不存在所谓“主权”。坚持一个中国原则、反对“台独”、反对“两个中国”“一中一台”，是我们处理台湾对外交往及参与国际活动问题的一贯立场。 我要再次强调，中方一贯坚决反对建交国与台开展任何形式的官方往来，坚决反对以任何方式、任何借口干涉中国内政。奉劝少数窜台的外国政客，纠正错误言行，停止干涉中国内政，停止纵容支持“台独”、推高台海紧张局势。",访谈语料,2024,外交部记者会,mfa_press,https://www.mfa.gov.cn/fyrbt_673021/jzhsl_673025/202412/t20241217_11495379.shtml,外交部例行记者会实录,2026-04-29,公开网页文字片段，仅用于语料检索展示；上线展示短片段，并提供原文链接，版权归原网站及相关权利人所有。
2024年10月10日外交部发言人毛宁主持例行记者会 片段 3,"韩联社记者：韩国总统尹锡悦昨天在新加坡发表演讲就韩中关系表示，正建立以相互尊重及国际规则为基础、追求共同利益的关系。他还表示，不管发生任何问题，都应及时开展坦诚对话，不能依赖于误会偏见或间接获取信息等进行应对，必要时及时同高层进行开诚布公的对话，这才是有效管控矛盾危机的方法。中方如何评价韩国总统的立场？还有一个问题，尹锡悦总统今天与东盟各国首脑签署了《关于建立全面战略伙伴关系的联合声明》，重申维持和促进南中国海和平稳定、安保安全以及1982年《联合国海洋法公约》在内国际法规定的航行和飞行自由的重要性。中方如何看待此次联合声明？
毛宁：首先回答你的第一个问题，中韩互为重要近邻和合作伙伴。中韩建交以来，双边关系取得丰硕成果，给两国人民带来实实在在的福祉，也为促进地区和平与繁荣发挥了积极作用。中国对韩政策保持稳定性、连续性，始终将韩国作为重要合作伙伴。希望韩方奉行积极客观友善的对华政策，同中方相向而行，落实好两国领导人达成的共识，推动中韩关系向好发展、走稳走实。 关于第二个问题，在中国和东盟国家共同努力下，当前南海局势保持总体稳定。南海航行自由从来都不是问题。中国将同东盟国家一道，继续致力于维护南海和平稳定，推动本地区繁荣发展。我们也希望有关国家切实尊重地区国家维护本地区和平稳定的努力。",访谈语料,2024,外交部记者会,mfa_press,https://www.mfa.gov.cn/fyrbt_673021/jzhsl_673025/202412/t20241217_11495379.shtml,外交部例行记者会实录,2026-04-29,公开网页文字片段，仅用于语料检索展示；上线展示短片段，并提供原文链接，版权归原网站及相关权利人所有。
2024年10月10日外交部发言人毛宁主持例行记者会 片段 4,"彭博社记者：昨天，王毅外长与日本外相岩屋毅通话，但没有提供关于深圳日本男童遇袭身亡事件作案动机的新信息。发言人今天能否提供更多信息？李强总理如在老挝会见石破茂首相，会向他提供相关信息吗？
毛宁：关于王毅外长昨天同日本外相通话的情况，中方已经发布了消息。你关心的具体问题，我没有更多信息可以提供。 关于李强总理在东亚合作领导人系列会议期间的双边会见，我们会及时发布消息，你可以保持关注。",访谈语料,2024,外交部记者会,mfa_press,https://www.mfa.gov.cn/fyrbt_673021/jzhsl_673025/202412/t20241217_11495379.shtml,外交部例行记者会实录,2026-04-29,公开网页文字片段，仅用于语料检索展示；上线展示短片段，并提供原文链接，版权归原网站及相关权利人所有。
2024年10月10日外交部发言人毛宁主持例行记者会 片段 5,"中新社记者：10月9日，在日内瓦举行的联合国人权理事会第57届会议以协商一致方式通过中国牵头提交的纪念《北京宣言》和《行动纲领》通过三十周年决议。发言人能否介绍更多情况？
毛宁：当地时间10月9日，联合国人权理事会第57届会议以协商一致方式通过中国代表丹麦、法国、肯尼亚和墨西哥共同提交的“纪念《北京宣言》和《行动纲领》通过三十周年”决议。决议获得广泛支持，有112个国家参与共提。 近三十年前，北京第四次世界妇女大会通过了《北京宣言》和《行动纲领》，这是世界妇女事业发展的里程碑。三十年来，妇女社会地位显著提升，同时全面落实《北京宣言》仍然面临挑战。中方已倡议在2025年北京世妇会召开30周年之际再次召开全球妇女峰会，在此背景下，中方提出有关决议，旨在重振《北京宣言》精神，反映了各方希望加快实现性别平等、合作应对挑战的共同心声，不少国家代表对人权理事会通过这一决议深感鼓舞。 中方决议获得协商一致通过和广泛共提也表明，坚持多边主义，坚持平等和相互尊重原则，秉持建设性对话与合作精神，是人权理事会工作健康发展的应有之义，也是全球人权治理行稳致远的重要启示。",访谈语料,2024,外交部记者会,mfa_press,https://www.mfa.gov.cn/fyrbt_673021/jzhsl_673025/202412/t20241217_11495379.shtml,外交部例行记者会实录,2026-04-29,公开网页文字片段，仅用于语料检索展示；上线展示短片段，并提供原文链接，版权归原网站及相关权利人所有。
2024年10月10日外交部发言人毛宁主持例行记者会 片段 6,"法新社记者：澳大利亚总理今天表示，中国将解除对澳大利亚龙虾进口的限制。中方能否提供更多细节？
毛宁：具体经贸问题建议你向中方主管部门了解。我可以告诉你的是，中方愿同澳方一道，继续通过对话协商，妥善解决彼此关切问题，使中澳关系更加成熟稳定，更好造福两国人民。 《中国日报》记者：据报道，菲律宾总统马科斯10日在东盟峰会上提及南海问题，强调菲律宾遵守法治和基于规则的国际秩序，呼吁所有东盟成员国不要对外部势力针对东盟成员的侵略性、胁迫性和非法行为视而不见，对这些侵犯行为沉默会削弱东盟。中方对此有何评论？",访谈语料,2024,外交部记者会,mfa_press,https://www.mfa.gov.cn/fyrbt_673021/jzhsl_673025/202412/t20241217_11495379.shtml,外交部例行记者会实录,2026-04-29,公开网页文字片段，仅用于语料检索展示；上线展示短片段，并提供原文链接，版权归原网站及相关权利人所有。
2024年10月10日外交部发言人毛宁主持例行记者会 片段 7,"路透社记者：消息人士称，由于上周日发生致命爆炸袭击，出于安全风险考虑，巴基斯坦政府计划在下周举办的上合组织会议期间要求在巴中国公民减少出行。外交部对此有何评论？
毛宁：我不掌握你提到的情况。我可以告诉你的是，中方将同巴方共同努力，切实保障在巴中方人员、项目和机构安全。 相关附件",访谈语料,2024,外交部记者会,mfa_press,https://www.mfa.gov.cn/fyrbt_673021/jzhsl_673025/202412/t20241217_11495379.shtml,外交部例行记者会实录,2026-04-29,公开网页文字片段，仅用于语料检索展示；上线展示短片段，并提供原文链接，版权归原网站及相关权利人所有。
2024年10月11日外交部发言人毛宁主持例行记者会 片段 1,"总台央视记者：中国—东盟领导人会议、东盟与中日韩领导人会议于近日在老挝首都万象召开。中方能否介绍一下会议情况和成果亮点？
毛宁：10月10日，第27次中国—东盟领导人会议、第27次东盟与中日韩领导人会议在老挝万象成功举行。会议氛围积极，各国领导人就如何在国际形势变乱交织、保护主义抬头的背景下，维护东亚地区和平稳定的良好局面、保持快速增长的积极势头进行了深入讨论，普遍认为应携手应对当前国际环境中的不确定性，共同维护自由贸易体制，加强产供链互联互通，打造高质量发展动能，坚定推进区域经济一体化进程，使本地区继续成为全球经济增长的重要引擎，团结合作的高地。 在中国—东盟领导人会议上，李强总理表示，中国东盟关系已超越双边范畴，具有重要的亚洲意义和全球影响。双方应用好中国和东盟的超大规模市场优势，在共建共享市场方面更多下功夫、想办法，为双方带来更强劲、更长久的发展动力。中方愿同东盟国家一道，构建立体联通网络，积极推进基建合作，挖掘新型产业合作潜力，深化人文交流，推动构建更为紧密的中国东盟命运共同体。与会东盟国家领导人高度评价中国东盟全面战略伙伴关系强劲发展势头，一致认为应进一步深化各领域互利合作，这对地区和平繁荣十分重要。双方领导人在会上宣布实质性结束中国—东盟自贸区3.0版升级谈判，首次达成各自经贸协定中最高水平的数字经济、绿色经济、供应链互联互通章节。这些升级成果将全面拓展中国与东盟在新兴领域互利合作，加强双方标准和规则领域互融互通，共构安全稳定、畅通高效的供应链合作网络，推动双方互利共赢迈上新水平。 在东盟与中日韩领导人会议上，李强总理表示，正如习近平主席指出，亚洲好世界才能更好。面向未来，中方愿同东盟、日韩等一道，树牢亚洲意识，弘扬东方智慧，持续营造良好的地区环境，持续提升地区发展水平，持续激发地区创新活力，朝着构建一个和平安宁、共同繁荣、开放融通的亚洲稳步前行。与会各国领导人普遍呼吁应紧密团结、协调行动，坚持多边主义，深化经贸、金融、粮食安全、数字经济、绿色经济、社会人文等领域合作，携手应对全球性挑战。会议突出的亮点是通过了《东盟与中日韩领导人关于加强区域供应链联通的声明》，各方在加强供应链协调与合作方面达成一系列共识，对外释放了东亚国家共同维护自由贸易体制的积极信号，为深化区域经济一体化、推动世。",访谈语料,2024,外交部记者会,mfa_press,https://www.mfa.gov.cn/fyrbt_673021/jzhsl_673025/202412/t20241217_11495386.shtml,外交部例行记者会实录,2026-04-29,公开网页文字片段，仅用于语料检索展示；上线展示短片段，并提供原文链接，版权归原网站及相关权利人所有。
2024年10月11日外交部发言人毛宁主持例行记者会 片段 2,"法新社记者：美国国务卿布林肯今天在万象举行记者会表示，中国不应以台湾地区领导人“双十”讲话为借口采取“挑衅行动”。中方对此有何评论？
毛宁：台湾问题是中国内政，不容任何外部势力干涉。维护台海和平稳定的关键在于坚决反对“台独”。美方应当做的是恪守一个中国原则和中美三个联合公报。",访谈语料,2024,外交部记者会,mfa_press,https://www.mfa.gov.cn/fyrbt_673021/jzhsl_673025/202412/t20241217_11495386.shtml,外交部例行记者会实录,2026-04-29,公开网页文字片段，仅用于语料检索展示；上线展示短片段，并提供原文链接，版权归原网站及相关权利人所有。
2024年10月11日外交部发言人毛宁主持例行记者会 片段 3,"香港中评社记者：外交部网站10月10日公布对3家美国军工企业和10名高级管理人员采取反制措施的决定，请问发言人有何进一步评论？
毛宁：中方一贯坚决反对美方向中国台湾地区出售武器。日前，美方再次向中国台湾地区提供大额武器援助，严重违反一个中国原则和中美三个联合公报，特别是“八·一七”公报，严重干涉中国内政，严重损害中国主权和领土完整。依据《中华人民共和国反外国制裁法》有关规定，中方对涉事美国军工企业及高级管理人员采取了反制措施。 我要强调，“台独”与台海和平水火不容。赖清德当局搞“以武拒统”是螳臂当车，买再多武器也阻挡不了中国必然统一的历史大势。美方执意“以武助独”只会将台湾推向兵凶战危的境地，卖再多武器都动摇不了我们反对“台独”、捍卫国家主权和领土完整的坚定决心。 台湾问题是中国核心利益中的核心，是中美关系第一条不可逾越的红线。我们敦促美方切实恪守一个中国原则和中美三个联合公报，停止以任何方式武装台湾，停止纵容支持“台独”。中方将继续采取坚决有力措施，捍卫国家主权、安全和领土完整。",访谈语料,2024,外交部记者会,mfa_press,https://www.mfa.gov.cn/fyrbt_673021/jzhsl_673025/202412/t20241217_11495386.shtml,外交部例行记者会实录,2026-04-29,公开网页文字片段，仅用于语料检索展示；上线展示短片段，并提供原文链接，版权归原网站及相关权利人所有。
